time[s],data(t-1)[degree],data(t),data(t+1),Average
5050,146.7644,146.7644,146.7644,146.7644
5060,146.7644,146.7644,146.7644,146.7644
5070,146.7644,146.7644,146.7644,146.7644
5080,146.7644,146.7644,146.7644,146.7644
5090,147.2528,146.7644,146.7644,146.9272
5100,147.2528,147.2528,146.7644,147.09
5110,146.7644,147.2528,147.2528,147.09
5120,147.2528,146.7644,147.2528,147.09
5130,146.7644,147.2528,146.7644,146.9272
5140,147.2528,146.7644,147.2528,147.09
5150,147.2528,147.2528,146.7644,147.09
5160,146.7644,147.2528,147.2528,147.09
5170,147.2528,146.7644,147.2528,147.09
5180,147.2528,147.2528,146.7644,147.09
5190,147.7412,147.2528,147.2528,147.4156
5200,147.7412,147.7412,147.2528,147.5784
5210,147.2528,147.7412,147.7412,147.5784
5220,147.2528,147.2528,147.7412,147.4156
5230,147.7412,147.2528,147.2528,147.4156
5240,147.2528,147.7412,147.2528,147.4156
5250,147.7412,147.2528,147.7412,147.5784
5260,147.2528,147.7412,147.2528,147.4156
5270,147.7412,147.2528,147.7412,147.5784
5280,147.7412,147.7412,147.2528,147.5784
5290,147.2528,147.7412,147.7412,147.5784
5300,147.7412,147.2528,147.7412,147.5784
5310,147.7412,147.7412,147.2528,147.5784
5320,147.7412,147.7412,147.7412,147.7412
5330,147.7412,147.7412,147.7412,147.7412
5340,147.2528,147.7412,147.7412,147.5784
5350,147.7412,147.2528,147.7412,147.5784
5360,147.7412,147.7412,147.2528,147.5784
5370,147.7412,147.7412,147.7412,147.7412
5380,148.2296,147.7412,147.7412,147.904
5390,147.7412,148.2296,147.7412,147.904
5400,148.2296,147.7412,148.2296,148.0668
5410,147.2528,148.2296,147.7412,147.7412
5420,147.7412,147.2528,148.2296,147.7412
5430,147.7412,147.7412,147.2528,147.5784
5440,147.7412,147.7412,147.7412,147.7412
5450,148.2296,147.7412,147.7412,147.904
5460,148.2296,148.2296,147.7412,148.0668
5470,147.7412,148.2296,148.2296,148.0668
5480,147.7412,147.7412,148.2296,147.904
5490,147.7412,147.7412,147.7412,147.7412
5500,147.7412,147.7412,147.7412,147.7412
5510,148.2296,147.7412,147.7412,147.904
5520,147.7412,148.2296,147.7412,147.904
5530,148.2296,147.7412,148.2296,148.0668
5540,148.2296,148.2296,147.7412,148.0668
5550,148.2296,148.2296,148.2296,148.2296
5560,148.2296,148.2296,148.2296,148.2296
5570,148.2296,148.2296,148.2296,148.2296
5580,148.2296,148.2296,148.2296,148.2296
5590,148.2296,148.2296,148.2296,148.2296
5600,148.2296,148.2296,148.2296,148.2296
5610,148.2296,148.2296,148.2296,148.2296
5620,148.2296,148.2296,148.2296,148.2296
5630,148.718,148.2296,148.2296,148.3924
5640,148.2296,148.718,148.2296,148.3924
5650,148.718,148.2296,148.718,148.5552
5660,148.718,148.718,148.2296,148.5552
5670,148.718,148.718,148.718,148.718
5680,148.718,148.718,148.718,148.718
5690,148.718,148.718,148.718,148.718
5700,148.718,148.718,148.718,148.718
5710,148.718,148.718,148.718,148.718
5720,148.2296,148.718,148.718,148.5552
5730,148.718,148.2296,148.718,148.5552
5740,148.2296,148.718,148.2296,148.3924
5750,148.718,148.2296,148.718,148.5552
5760,148.718,148.718,148.2296,148.5552
5770,148.718,148.718,148.718,148.718
5780,148.718,148.718,148.718,148.718
5790,148.718,148.718,148.718,148.718
5800,148.718,148.718,148.718,148.718
5810,148.718,148.718,148.718,148.718
5820,148.718,148.718,148.718,148.718
5830,149.2064,148.718,148.718,148.8808
5840,148.718,149.2064,148.718,148.8808
5850,148.718,148.718,149.2064,148.8808
5860,148.718,148.718,148.718,148.718
5870,148.718,148.718,148.718,148.718
5880,148.718,148.718,148.718,148.718
5890,148.718,148.718,148.718,148.718
5900,149.2064,148.718,148.718,148.8808
5910,148.718,149.2064,148.718,148.8808
5920,149.2064,148.718,149.2064,149.0436
5930,148.718,149.2064,148.718,148.8808
5940,148.718,148.718,149.2064,148.8808
5950,149.2064,148.718,148.718,148.8808
5960,149.2064,149.2064,148.718,149.0436
5970,148.718,149.2064,149.2064,149.0436
5980,148.718,148.718,149.2064,148.8808
5990,148.718,148.718,148.718,148.718
6000,149.6948,148.718,148.718,149.0436
6010,148.718,149.6948,148.718,149.0436
6020,149.6948,148.718,149.6948,149.3692
6030,149.2064,149.6948,148.718,149.2064
6040,149.2064,149.2064,149.6948,149.3692
6050,149.2064,149.2064,149.2064,149.2064
6060,149.2064,149.2064,149.2064,149.2064
6070,149.2064,149.2064,149.2064,149.2064
6080,149.2064,149.2064,149.2064,149.2064
6090,148.718,149.2064,149.2064,149.0436
6100,149.2064,148.718,149.2064,149.0436
6110,149.2064,149.2064,148.718,149.0436
6120,149.2064,149.2064,149.2064,149.2064
6130,149.2064,149.2064,149.2064,149.2064
6140,149.2064,149.2064,149.2064,149.2064
6150,149.2064,149.2064,149.2064,149.2064
6160,149.2064,149.2064,149.2064,149.2064
6170,149.6948,149.2064,149.2064,149.3692
6180,149.6948,149.6948,149.2064,149.532
6190,149.2064,149.6948,149.6948,149.532
6200,149.6948,149.2064,149.6948,149.532
6210,149.6948,149.6948,149.2064,149.532
